Plant ID,Length (px)
test_image_1_plant_1,653.563491861041
test_image_1_plant_2,567.2253967444162
test_image_1_plant_3,719.2741699796964
test_image_1_plant_4,475.53910524340125
test_image_1_plant_5,725.6761902332493
test_image_2_plant_1,1175.4234482783627
test_image_2_plant_2,1676.3889603929588
test_image_2_plant_3,1456.3401871576775
test_image_2_plant_4,1313.7716446627544
test_image_2_plant_5,1130.1025971044417
test_image_3_plant_1,700.303607231218
test_image_3_plant_2,1197.4234482783636
test_image_3_plant_3,0
test_image_3_plant_4,1456.1219330881972
test_image_3_plant_5,1427.506709399048
test_image_4_plant_1,865.9015869776655
test_image_4_plant_2,1446.4234482783631
test_image_4_plant_3,1472.8549057834389
test_image_4_plant_4,1610.3107499061546
test_image_4_plant_5,1539.3889603929574
test_image_5_plant_1,1024.0020920410532
test_image_5_plant_2,1102.0731598529187
test_image_5_plant_3,963.090403795622
test_image_5_plant_4,1022.2863632885162
test_image_5_plant_5,1041.6883835420692
test_image_6_plant_1,1467.0681092190357
test_image_6_plant_2,1213.0315292925766
test_image_6_plant_3,1179.9848480983514
test_image_6_plant_4,1370.5584412271578
test_image_6_plant_5,1552.8132752230965
test_image_7_plant_1,0
test_image_7_plant_2,0
test_image_7_plant_3,0
test_image_7_plant_4,0
test_image_7_plant_5,0
test_image_8_plant_1,0
test_image_8_plant_2,0
test_image_8_plant_3,0
test_image_8_plant_4,0
test_image_8_plant_5,0
test_image_9_plant_1,335.78174593052023
test_image_9_plant_2,317.18376618407376
test_image_9_plant_3,357.85281374238616
test_image_9_plant_4,398.882250993909
test_image_9_plant_5,324.1959594928937
test_image_10_plant_1,445.3502884254444
test_image_10_plant_2,465.3502884254442
test_image_10_plant_3,0
test_image_10_plant_4,464.8772003600254
test_image_10_plant_5,425.4386001800126
test_image_11_plant_1,689.7178207935924
test_image_11_plant_2,743.8183258569802
test_image_11_plant_3,807.3330444827408
test_image_11_plant_4,860.7716446627543
test_image_11_plant_5,810.0315292925765
